Unique ID,Brief description of event,State,District,Type of Event,Date,Number of Participants,Uploaded Geotag Photo,Uploaded Video Clip,Zoo_Name
66600,Awareness session on Butterfly Conservation and Ecosystem,Andhra Pradesh (AP),Vishakhapatnam,Action & Awareness,16-05-2023,70,Awareness session on Butterfly Conservation,,Indira Gandhi ZP
66625,Pledge and Rally,Andhra Pradesh (AP),Vishakhapatnam,Action & Awareness,16-05-2023,180,Pledge & Rally,,Indira Gandhi ZP
66765,Eco friendly Battery Operated Vehicles,Andhra Pradesh (AP),Vishakhapatnam,Action & Awareness,16-05-2023,890,Eco friendly BOV,,Indira Gandhi ZP
66833,Soil and Moisture conservation - Staff doing saucer work around trees and watering.,Andhra Pradesh (AP),Vishakhapatnam,Action & Awareness,16-05-2023,7,Staff doing saucer work around trees and watering.,,Indira Gandhi ZP
67336,Pledge by the Visitors of IGZP supporting Mission LiFE,Andhra Pradesh (AP),Vishakhapatnam,Action & Awareness,16-05-2023,85,Pledge by the Visitors,,Indira Gandhi ZP
67495,Plantation and Nursery Development,Andhra Pradesh (AP),Vishakhapatnam,Action & Awareness,16-05-2023,35,Plantation and Nursery Development,,Indira Gandhi ZP
67629,Awareness session on Biodiversity,Andhra Pradesh (AP),Vishakhapatnam,Action & Awareness,16-05-2023,90,Awareness session on Biodiversity,,Indira Gandhi ZP
67670,Awareness session on Energy Conservation at Elephant Enclosure,Andhra Pradesh (AP),Vishakhapatnam,Action & Awareness,16-05-2023,65,Awareness session on Energy Conservation,,Indira Gandhi ZP
67700,Pledge and Awareness session about Save Energy,Andhra Pradesh (AP),Vishakhapatnam,Action & Awareness,16-05-2023,80,Pledge and Awareness session about Save Energy,,Indira Gandhi ZP
67729,Awareness about Save water at Herbivore RO plant,Andhra Pradesh (AP),Vishakhapatnam,Action & Awareness,16-05-2023,55,Save water,,Indira Gandhi ZP
67808,Plant for Life- Conservation of flora information.,Andhra Pradesh (AP),Vishakhapatnam,Action & Awareness,16-05-2023,130,Plant for Life,,Indira Gandhi ZP
68162,Pledge for stray dogs and prevention to cruelty to animal welfare,Andhra Pradesh (AP),Vishakhapatnam,Action & Awareness,16-05-2023,85,Prevention to cruelty to animal welfare,,Indira Gandhi ZP
68435,Cleaning and maintenance of animal enclosures in IGZP,Andhra Pradesh (AP),Vishakhapatnam,Action & Awareness,16-05-2023,5,Cleaning,,Indira Gandhi ZP
68466,Awareness of healthy life and Sustainable development,Andhra Pradesh (AP),Vishakhapatnam,Action & Awareness,16-05-2023,70,Awareness of healthy life,,Indira Gandhi ZP
68557,Pledge and awareness session on Conservation of Nature and Wildlife,Andhra Pradesh (AP),Vishakhapatnam,Action & Awareness,16-05-2023,50,Pledge,,Indira Gandhi ZP
68733,Keepers talk at Primates enclosures,Andhra Pradesh (AP),Vishakhapatnam,Action & Awareness,16-05-2023,65,Keepers talk at Primates enclosures,,Indira Gandhi ZP
68917,Keepers talk at Giraffe enclosure,Andhra Pradesh (AP),Vishakhapatnam,Action & Awareness,16-05-2023,90,Keepers talk at Giraffe enclosure,,Indira Gandhi ZP
68942,Keepers talk at Bison enclosure,Andhra Pradesh (AP),Vishakhapatnam,Action & Awareness,16-05-2023,70,Keepers talk at Bison enclosure,,Indira Gandhi ZP
55587,"On Day 11 of the mass mobilization for #Mission LIFE, NZP was brimming with students' energy as they created artistic masks and made a joint commitment to forging a LIFE that is sustainable",Delhi (DL),South Delhi,Action & Awareness,15-05-2023,319,Activity and Demonstration,lecture cum Demonstration,National ZP
71308,"Poem & story telling for the LiFE movement at NZP in cooperation with NMNH India was the focus of Day 12 of the mass mobilization. With calming poems and stories, the students warmed the atmosphere while jointly pledging to join Mission LiFE.",Delhi (DL),South Delhi,Action & Awareness,16-05-2023,213,Activity and Demonstration,lecture cum Demonstration,National ZP
62547,"As a part of Mission Life and Bird Watching, a nature trail session was conducted in collaboration with New English School.",Maharashtra (MH),Nagpur,Awareness,16-05-2023,18,Bird Watching & Nature Trail,,BT Gorewada International ZP
60472,Preparation Of Naturalistic Enrichments For Captive Animals,Odisha (OD),Khordha,Action,,,,,Nandankanan ZP
84772,Dry Waste Collection From The Rajkot Zoo Premises For Compost Pit,Gujarat (GJ),Rajkot,Action & Awareness,15-05-2023,15,Dry Waste Collecton,,Rajkot ZP
85279,Mission LiFE Pledge By Rajkot Zoo Staff And Awareness Program.,Gujarat (GJ),Rajkot,Action & Awareness,17-05-2023,40,Missin Life Pledge for Staff,Awareness about Mission LiFE for Zoo Staff,Rajkot ZP
